body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=ipv4,aprofundamento_view,,ec4b164a-9ba3-4a7f-a6c2-39b6ad622392,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,ipv4,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/ipv4,INFO,1788806373000000000,72fd33c27f7b490c8ec4aa3a6e0f98cc
evento=http_access status=ok,http_access,1,11726f64-fcdb-40c6-9c52-dfe420ec7e85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806372000000000,f9f539dfd05d4362a8c23a92e111b3a4
evento=http_access status=ok,http_access,6,b6b51cbf-0404-4ead-956d-e6326ce9a90b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/tcp,INFO,1788806372000000000,0df66abe2dd24b858aac7873e9970a1c
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=tcp,aprofundamento_view,,418a4f78-9b7d-4671-8457-0ccdd714eca2,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,tcp,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/tcp,INFO,1788806372000000000,0df66abe2dd24b858aac7873e9970a1c
evento=http_access status=ok,http_access,1,34e08641-ed05-479c-b256-0b3f6cefed4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806371000000000,94a49806ac8c4c91a5ff6158bca83ae7
evento=http_access status=ok,http_access,15,a221688b-9bc5-40be-a5ff-c37d547bb3df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/http,INFO,1788806371000000000,498f97eabea142e39ed44112d19aa0bf
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=http,aprofundamento_view,,89aacc0c-55f6-43f7-9ec0-37aa39af80e2,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,http,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/http,INFO,1788806371000000000,498f97eabea142e39ed44112d19aa0bf
evento=http_access status=ok,http_access,2,b83c4e5a-5dc2-420e-9a3b-bb31f0f7b2a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806369000000000,0553d4f7e05742de960ffe0abf73baff
evento=http_access status=ok,http_access,21,aca30ea9-bd05-4b74-b1f6-f70a9f65ee01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788806369000000000,da288282f6114112a3da5bd24d140867
evento=catalog_load status=ok total=47,catalog_load,,10da5d38-e236-40b2-85d2-b24e27f8b017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806369000000000,da288282f6114112a3da5bd24d140867
evento=catalog_load status=ok total=47,catalog_load,,180e8ec5-e81d-40d1-a92c-794bc08d0812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806369000000000,da288282f6114112a3da5bd24d140867
evento=http_access status=ok,http_access,2,7a7c6cfc-5b41-476c-b79a-0ca63b6dc8e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806368000000000,58ac9d31aed1405db2a4e42af8086413
